FCODE$,FEMID$,SITE$,Age,FSVLAFTER
,,OR,0.01,29.32
,,OR,0.01,29.32
,,CP,0.01,29.32
,,CP,0.01,29.32
,,CP,0.01,29.32
,,CP,0.01,29.32
,,OR,0.01,29.33
,,OR,0.01,29.33
,,OR,0.01,29.33
,,OR,0.01,29.33
,,OR,0.01,29.33
,,OR,0.01,29.33
,,OR,0.01,29.33
,,OR,0.01,29.33
,,CP,0.01,29.33
,,CP,0.01,29.33
,,CP,0.01,29.33
,,CP,0.01,29.33
,,CP,0.01,29.33
,,CP,0.01,29.33
,,OR,0.01,29.34
,,OR,0.01,29.34
,,OR,0.01,29.34
,,OR,0.01,29.34
,,OR,0.01,29.34
,,OR,0.01,29.34
,,OR,0.01,29.34
,,OR,0.01,29.34
,,OR,0.01,29.34
,,OR,0.01,29.34
,,OR,0.01,29.34
,,OR,0.01,29.34
,,CP,0.01,29.34
,,CP,0.01,29.34
,,CP,0.01,29.34
,,OR,0.01,29.35
,,OR,0.01,29.35
,,OR,0.01,29.35
,,OR,0.01,29.35
,,OR,0.01,29.35
,,OR,0.01,29.35
,,OR,0.01,29.35
,,OR,0.01,29.35
,,OR,0.01,29.35
,,OR,0.01,29.35
,,CP,0.01,29.35
,,CP,0.01,29.35
,,CP,0.01,29.35
,,CP,0.01,29.35
,,CP,0.01,29.35
,,CP,0.01,29.35
,,CP,0.01,29.35
,,CP,0.01,29.35
,,CP,0.01,29.35
,,CP,0.01,29.35
,,CP,0.01,29.35
,,CP,0.01,29.35
,,OR,0.01,29.36
,,OR,0.01,29.36
,,OR,0.01,29.36
,,OR,0.01,29.36
,,OR,0.01,29.36
,,OR,0.01,29.36
,,OR,0.01,29.36
,,OR,0.01,29.36
,,OR,0.01,29.36
,,OR,0.01,29.36
,,CP,0.01,29.36
,,CP,0.01,29.36
,,CP,0.01,29.36
,,CP,0.01,29.36
,,CP,0.01,29.36
,,CP,0.01,29.36
,,CP,0.01,29.36
,,CP,0.01,29.36
,,CP,0.01,29.36
,,OR,0.01,29.37
,,OR,0.01,29.37
,,OR,0.01,29.37
,,OR,0.01,29.37
,,OR,0.01,29.37
,,OR,0.01,29.37
,,OR,0.01,29.37
,,OR,0.01,29.37
,,CP,0.01,29.37
,,CP,0.01,29.37
,,CP,0.01,29.37
,,CP,0.01,29.37
,,CP,0.01,29.37
,,CP,0.01,29.37
,,OR,0.01,29.38
,,OR,0.01,29.38
,,OR,0.01,29.38
,,OR,0.01,29.38
,,OR,0.01,29.38
,,OR,0.01,29.38
,,OR,0.01,29.38
,,CP,0.01,29.38
,,CP,0.01,29.38
,,CP,0.01,29.38
,,CP,0.01,29.38
,,CP,0.01,29.38
,,CP,0.01,29.38
,,CP,0.01,29.38
,,OR,0.01,29.39
,,OR,0.01,29.39
,,OR,0.01,29.39
,,OR,0.01,29.39
,,OR,0.01,29.39
,,CP,0.01,29.39
,,CP,0.01,29.39
,,CP,0.01,29.39
,,CP,0.01,29.39
,,CP,0.01,29.39
,,CP,0.01,29.39
,,CP,0.01,29.39
,,CP,0.01,29.39
,,OR,0.01,29.4
,,OR,0.01,29.4
,,OR,0.01,29.4
,,OR,0.01,29.4
,,OR,0.01,29.4
,,OR,0.01,29.4
,,OR,0.01,29.4
,,OR,0.01,29.4
,,OR,0.01,29.4
,,OR,0.01,29.4
,,OR,0.01,29.4
,,CP,0.01,29.4
,,CP,0.01,29.4
,,CP,0.01,29.4
,,CP,0.01,29.4
,,CP,0.01,29.4
,,CP,0.01,29.4
,,CP,0.01,29.4
,,CP,0.01,29.4
,,CP,0.01,29.4
,,OR,0.01,29.41
,,OR,0.01,29.41
,,OR,0.01,29.41
,,OR,0.01,29.41
,,OR,0.01,29.41
,,OR,0.01,29.41
,,OR,0.01,29.41
,,OR,0.01,29.41
,,CP,0.01,29.41
,,CP,0.01,29.41
,,CP,0.01,29.41
,,CP,0.01,29.41
,,CP,0.01,29.41
,,CP,0.01,29.41
,,CP,0.01,29.41
,,OR,0.01,29.42
,,OR,0.01,29.42
,,OR,0.01,29.42
,,OR,0.01,29.42
,,OR,0.01,29.42
,,OR,0.01,29.42
,,OR,0.01,29.42
,,OR,0.01,29.42
